campaign_id,campaign_name,platform,content_type,post_date,post_hour,reach,impressions,clicks,likes,comments,shares,spend_usd
C002,Product Launch,Twitter,Carousel,03-31-2025,14,2743,3351,23.0,33,5.0,4,59.44
C007,Influencer Collab,LinkedIn,Text Post,07-06-2025,14,2901,5018,78.0,20,2.0,4,416.82
C006,Flash Sale,Twitter,Carousel,03-01-2025,13,7582,11580,181.0,109,10.0,23,76.42
C008,New Year Promo,TikTok,Story,02-10-2025,12,11094,16431,566.0,242,49.0,52,40.36
C003,Brand Awareness,TikTok,Text Post,05-18-2025,13,7181,11445,49.0,80,13.0,22,415.88
C007,Influencer Collab,Twitter,Story,2025-05-05,14,5485,8847,197.0,112,15.0,14,350.66
C003,Brand Awareness,Twitter,Carousel,04-01-2025,20,1417,1678,,44,3.0,3,472.03
C003,Brand Awareness,LinkedIn,Story,27/05/2025,8,3652,5910,169.0,38,6.0,7,426.04
C004,Holiday Promo,Twitter,Text Post,06/01/2025,13,2983,5058,89.0,25,4.0,7,293.63
C007,Influencer Collab,Twitter,Text Post,02-13-2025,10,4863,7618,24.0,34,6.0,6,24.34
C006,Flash Sale,Facebook,Carousel,06-15-2025,7,8278,12885,,321,40.0,65,167.03
C007,Influencer Collab,LinkedIn,Video,15/06/2025,21,1732,3055,155.0,61,13.0,12,403.93
C005,Customer Spotlight,LinkedIn,Story,06-13-2025,6,3997,4961,91.0,105,7.0,20,436.71
C004,Holiday Promo,TikTok,Video,02-07-2025,20,13322,15554,564.0,221,35.0,34,162.67
C008,New Year Promo,Instagram,Carousel,04-16-2025,18,7382,12606,272.0,259,32.0,35,494.07
C004,Holiday Promo,Twitter,Story,03-12-2025,14,4392,6011,205.0,98,14.0,8,321.3
C006,Flash Sale,LinkedIn,Text Post,06-07-2025,22,4880,6306,24.0,85,12.0,14,99.56
C001,Summer Sale,Facebook,Text Post,06-26-2025,17,4488,6393,151.0,60,4.0,16,355.12
C002,Product Launch,LinkedIn,Video,06-30-2025,7,3730,5948,294.0,119,13.0,25,474.43
C006,Flash Sale,Twitter,Image,05-16-2025,17,1877,3119,95.0,37,3.0,3,258.3
C001,Summer Sale,Instagram,Text Post,07-21-2025,16,7152,11980,120.0,81,12.0,21,103.41
C008,New Year Promo,Facebook,Image,02-21-2025,6,5300,6864,196.0,77,4.0,19,417.67
C002,Product Launch,Twitter,Video,2025-06-09,23,3843,6251,61.0,169,13.0,27,283.77
C008,New Year Promo,Facebook,Carousel,01-10-2025,22,7003,9395,335.0,258,38.0,72,49.86
C005,Customer Spotlight,Facebook,Text Post,02-24-2025,23,8146,13325,312.0,33,4.0,2,128.54
C006,Flash Sale,TikTok,Story,05-01-2025,11,17073,27595,381.0,186,25.0,27,132.13
C005,Customer Spotlight,Facebook,Story,01-31-2025,22,5914,6545,36.0,86,7.0,12,57.72
C005,Customer Spotlight,TikTok,Story,02-10-2025,13,10442,17455,489.0,174,24.0,24,261.31
C008,New Year Promo,Facebook,Image,2025-05-17,23,8085,12570,224.0,260,37.0,22,147.3
C005,Customer Spotlight,Instagram,Image,03-14-2025,20,7782,12944,440.0,66,10.0,7,155.13
C002,Product Launch,TikTok,Image,05-11-2025,15,6965,8157,122.0,72,7.0,8,103.22
C008,New Year Promo,TikTok,Story,26/06/2025,6,14547,24142,178.0,323,53.0,51,460.31
C005,Customer Spotlight,Facebook,Video,07-05-2025,18,3998,6696,194.0,170,20.0,41,108.05
C008,New Year Promo,TikTok,Story,2025-02-10,20,17121,18885,537.0,190,29.0,50,476.37
C006,Flash Sale,Facebook,Text Post,01-17-2025,12,6174,10280,123.0,112,10.0,14,412.65
C005,Customer Spotlight,LinkedIn,Text Post,22/07/2025,20,4243,5138,29.0,115,7.0,26,180.86
C006,Flash Sale,Twitter,Image,2025-06-05,16,2997,3578,102.0,102,10.0,18,56.59
C005,Customer Spotlight,TikTok,Image,03-27-2025,11,9842,17335,665.0,281,41.0,30,310.96
C007,Influencer Collab,Twitter,Video,04-13-2025,15,6224,9407,77.0,101,12.0,8,419.21
C003,Brand Awareness,Twitter,Story,03-03-2025,8,3807,4419,141.0,74,10.0,14,256.9
C004,Holiday Promo,Twitter,Text Post,07-20-2025,7,2364,4189,54.0,34,,3,364.8
C001,Summer Sale,LinkedIn,Story,07/05/2025,20,3585,4996,86.0,77,8.0,22,449.17
C003,Brand Awareness,Instagram,Text Post,07-15-2025,22,14346,18067,384.0,326,51.0,54,82.71
C008,New Year Promo,Facebook,Story,05-18-2025,17,3534,5662,154.0,95,7.0,7,297.63
C008,New Year Promo,LinkedIn,Video,06-01-2025,9,2844,3679,139.0,104,9.0,19,371.89
C006,Flash Sale,Twitter,Carousel,07-07-2025,13,4489,6984,305.0,149,11.0,16,439.47
C002,Product Launch,Facebook,Carousel,03-09-2025,13,7755,10435,106.0,85,17.0,19,60.37
C008,New Year Promo,TikTok,Story,06-10-2025,16,15288,21629,140.0,346,55.0,31,455.09
